COD_PRODUTO	CATEGORIA_PRODUTO	SECAO_PRODUTO	PRECO_UNITARIO	QTD_UNIDADES_VENDIDAS_MES
COD_P_233209	Tinta e Pincel	Papelaria	5.9	14
COD_P_235103	Caneta Especial	Papelaria	5.9	26
COD_P_178413	Monitor	Informática	799.9	3
COD_P_316368	Mochila Escolar	Acessórios	139	3
COD_P_190632	Suporte de Celular	Acessórios	29.9	5
COD_P_168517	Tinta e Pincel	Papelaria	7.9	6
COD_P_220491	Papéis e Cartolina	Papelaria	14.9	6
COD_P_310383	Impressora a Jato	Informática	399.9	7
COD_P_231329	Cartucho de Tinta	Informática	139.9	12
COD_P_309533	Grampeador e Perfurador	Papelaria	28.9	2
COD_P_178929	Caderno 1 Matéria	Papelaria	9.9	8
COD_P_280958	Notebook	Informática	3299.9	2
COD_P_143791	Marca Texto	Papelaria	4.9	26
COD_P_176849	Caderno 1 Matéria	Papelaria	8.9	4
COD_P_233587	Papéis e Cartolina	Papelaria	5	28
COD_P_272409	Envelope	Papelaria	1.9	5
COD_P_318526	Suporte de Celular	Acessórios	24.9	5
COD_P_320672	Agenda	Papelaria	47.8	10
COD_P_223322	Teclado Simples	Informática	159.9	9
COD_P_340509	Grampeador e Perfurador	Papelaria	9.9	12
COD_P_165206	Pen Drive	Informática	74.9	4
COD_P_287912	Caneta Simples	Papelaria	1.5	21
COD_P_307703	Lápis de Cor e Giz	Papelaria	19.9	23
COD_P_274300	Mochila Escolar	Acessórios	120	8
COD_P_151271	Caderno 1 Matéria	Papelaria	9.9	8
COD_P_246220	HD Externo	Informática	229.9	8
COD_P_257221	Caderno 1 Matéria	Papelaria	6.9	4
COD_P_320244	Caneta Simples	Papelaria	2	22
COD_P_149125	Papéis e Cartolina	Papelaria	4.9	14
COD_P_182111	Mochila Escolar	Acessórios	125	2
COD_P_248782	Tripé	Acessórios	249.9	1
COD_P_231063	Teclado Mecânico	Informática	299.9	3
COD_P_331713	Caderno 10 Matérias	Papelaria	9.9	15
COD_P_206364	Mochila Escolar	Acessórios	127.9	1
COD_P_236266	Fone de Ouvido sem Fio	Acessórios	199.9	2
COD_P_189245	Caixa de Som Bluetooth	Acessórios	89.9	4
COD_P_330373	Papéis e Cartolina	Papelaria	0.8	7
COD_P_330543	Caneta Especial	Papelaria	52.9	4
COD_P_236137	Caderno 1 Matéria	Papelaria	7.9	6
COD_P_178381	Teclado Simples	Informática	99.9	20
COD_P_166193	Estilete	Papelaria	12.9	2
COD_P_255725	Lápis	Papelaria	1.5	19
COD_P_284239	Envelope	Papelaria	0.6	11
COD_P_197488	Caneta Especial	Papelaria	14.9	1
COD_P_326137	Estilete	Papelaria	5.9	4
COD_P_304471	Caneta Simples	Papelaria	1.9	40
COD_P_189468	Pasta	Papelaria	5.9	10
COD_P_293534	Mouse Óptico	Informática	39.9	31
COD_P_167616	Fone de Ouvido com Fio	Acessórios	109.9	12
COD_P_242814	Teclado Mecânico	Informática	251.9	5
COD_P_168386	Tinta e Pincel	Papelaria	34.9	4
COD_P_132532	Caneta Especial	Papelaria	18.9	8
COD_P_208497	Caneta Simples	Papelaria	2.9	1
COD_P_316501	Agenda	Papelaria	65.9	0
COD_P_263117	Tablet	Informática	2980	6
COD_P_258443	Cabo USB	Acessórios	23.9	12
COD_P_144988	Bloco de Anotações	Papelaria	2.5	3
COD_P_187818	Envelope	Papelaria	1	39
COD_P_320296	Pen Drive	Informática	35	13
COD_P_131606	Fone de Ouvido sem Fio	Acessórios	121.9	14
COD_P_220568	HD Externo	Informática	399.9	2
